gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
965,Simpelveld,1,2,5641,2019-06-06 16:49:37.896968+02:00,99.9468
1702,Sint Anthonis,1,0,5766,2019-06-06 16:49:39.341775+02:00,99.9827
845,Sint-Michielsgestel,1,4,13671,2019-06-06 16:49:42.268790+02:00,99.9634
1883,Sittard-Geleen,4,4,53470,2019-06-06 16:49:51.476645+02:00,99.985
610,Sliedrecht,6,4,12166,2019-06-06 16:49:53.847665+02:00,99.9178
1714,Sluis,950,3,20032,2019-06-06 16:49:58.191139+02:00,95.2426
90,Smallingerland,3,4,30998,2019-06-06 16:50:06.295072+02:00,99.9774
342,Soest,32,0,23965,2019-06-06 16:50:10.437728+02:00,99.8665
847,Someren,1,3,9246,2019-06-06 16:50:12.951112+02:00,99.9567
848,Son en Breugel,23,5,8331,2019-06-06 16:50:14.845323+02:00,99.6639
37,Stadskanaal,3,2,17493,2019-06-06 16:50:18.399434+02:00,99.9714
180,Staphorst,4,4,7332,2019-06-06 16:50:20.013548+02:00,99.8909
532,Stede Broec,228,0,9833,2019-06-06 16:50:21.908174+02:00,97.6813
851,Steenbergen,67,22,12799,2019-06-06 16:50:24.180375+02:00,99.3046
1708,Steenwijkerland,118,0,23897,2019-06-06 16:50:29.330274+02:00,99.5062
971,Stein,2,0,12828,2019-06-06 16:50:31.809062+02:00,99.9844
1904,Stichtse Vecht,12,0,32070,2019-06-06 16:50:37.889795+02:00,99.9626
1900,Sudwest-Fryslan,31,2592,54609,2019-06-06 16:50:47.594593+02:00,95.1968
715,Terneuzen,348,4,30899,2019-06-06 16:50:54.295986+02:00,98.8608
93,Terschelling,3,0,3643,2019-06-06 16:50:55.324590+02:00,99.9177
448,Texel,7,0,11156,2019-06-06 16:50:57.991928+02:00,99.9373
1525,Teylingen,206,14,17226,2019-06-06 16:51:03.213442+02:00,98.7229
716,Tholen,734,0,13033,2019-06-06 16:51:06.667993+02:00,94.3681
281,Tiel,12,9,20738,2019-06-06 16:51:11.157926+02:00,99.8987
855,Tilburg,9,82,119412,2019-06-06 16:51:39.537299+02:00,99.9238
183,Tubbergen,2,0,10132,2019-06-06 16:51:42.256595+02:00,99.9803
1700,Twenterand,1,0,15174,2019-06-06 16:51:45.831358+02:00,99.9934
1730,Tynaarlo,51,2,16726,2019-06-06 16:51:49.595556+02:00,99.6831
737,Tytsjerksteradiel,908,0,15679,2019-06-06 16:51:53.197408+02:00,94.2088
856,Uden,13,0,21935,2019-06-06 16:51:57.395643+02:00,99.9407
450,Uitgeest,236,2,6314,2019-06-06 16:51:59.137637+02:00,96.2306
451,Uithoorn,0,61,16145,2019-06-06 16:52:02.459484+02:00,99.6222
184,Urk,50,12,8071,2019-06-06 16:52:04.917290+02:00,99.2318
344,Utrecht,32,104,172516,2019-06-06 16:52:44.026793+02:00,99.9212
1581,Utrechtse Heuvelrug,23,1,23850,2019-06-06 16:52:50.681874+02:00,99.8994
981,Vaals,1,0,7021,2019-06-06 16:52:52.462646+02:00,99.9858
994,Valkenburg aan de Geul,1,1,9868,2019-06-06 16:52:54.133666+02:00,99.9797
858,Valkenswaard,2,2,16660,2019-06-06 16:52:57.330696+02:00,99.976
47,Veendam,4,0,14617,2019-06-06 16:52:59.663814+02:00,99.9726
345,Veenendaal,11,4,32652,2019-06-06 16:53:05.326654+02:00,99.9541
717,Veere,22,0,16186,2019-06-06 16:53:10.911968+02:00,99.8641
861,Veldhoven,2,2,22709,2019-06-06 16:53:16.571794+02:00,99.9824
453,Velsen,831,734,35881,2019-06-06 16:53:24.989104+02:00,95.6384
983,Venlo,14,2,56743,2019-06-06 16:53:35.353799+02:00,99.9718
984,Venray,50,0,19986,2019-06-06 16:53:41.864517+02:00,99.7498
1961,Vijfheerenlanden,307,1,28236,2019-06-06 16:53:49.908153+02:00,98.9092
622,Vlaardingen,0,0,42087,2019-06-06 16:53:59.324421+02:00,100.0
96,Vlieland,0,0,1156,2019-06-06 16:54:03.041795+02:00,100.0
718,Vlissingen,1,0,27456,2019-06-06 16:54:09.035139+02:00,99.9964
986,Voerendaal,0,0,6353,2019-06-06 16:54:13.429522+02:00,100.0
626,Voorschoten,68,1,12954,2019-06-06 16:54:18.186855+02:00,99.4673
285,Voorst,7,0,12345,2019-06-06 16:54:22.494143+02:00,99.9433
865,Vught,9,0,13200,2019-06-06 16:54:27.252785+02:00,99.9318
1949,Waadhoeke,2,2,24884,2019-06-06 16:54:33.514324+02:00,99.9839
866,Waalre,4,0,8766,2019-06-06 16:54:37.490679+02:00,99.9544
867,Waalwijk,1360,3,25262,2019-06-06 16:54:43.114113+02:00,94.6045
627,Waddinxveen,4,1,14581,2019-06-06 16:54:47.837777+02:00,99.9657
289,Wageningen,0,30,19794,2019-06-06 16:54:53.303622+02:00,99.8484
629,Wassenaar,1,11,13765,2019-06-06 16:54:57.884067+02:00,99.9128
852,Waterland,13,0,8990,2019-06-06 16:55:03.994342+02:00,99.8554
988,Weert,4,0,25927,2019-06-06 16:55:09.771735+02:00,99.9846
